system,experiment,request_id,is_cold,client_us,network_rtt_us,function_exec_us,overhead_us,pct_network,pct_function,pct_overhead
Boki,latency-dist,0053000d0000010a,False,4341,212.0,1628,2501.0,4.9,37.5,57.6
Boki,latency-dist,0053000e0000008b,False,4627,247.0,2321,2059.0,5.3,50.2,44.5
Boki,latency-dist,0053000d0000010b,False,7500,194.0,4422,2884.0,2.6,59.0,38.5
Boki,latency-dist,0053000e0000008c,False,7289,219.0,4696,2374.0,3.0,64.4,32.6
Boki,latency-dist,0053000d0000010c,False,8281,186.0,1328,6767.0,2.2,16.0,81.7
Boki,latency-dist,009a000e00000038,False,9754,200.0,7371,2183.0,2.1,75.6,22.4
Boki,latency-dist,009a001100000038,False,12273,459.0,8360,3454.0,3.7,68.1,28.1
Boki,latency-dist,009a00100000003b,False,11310,185.0,8361,2764.0,1.6,73.9,24.4
Boki,latency-dist,009a000f00000033,False,10297,180.0,7279,2838.0,1.7,70.7,27.6
Boki,latency-dist,009a000d000000b9,False,13205,217.0,8926,4062.0,1.6,67.6,30.8
Boki,latency-dist,0053000d0000010d,False,6006,380.0,3623,2003.0,6.3,60.3,33.3
Boki,latency-dist,0053000e0000008d,False,6479,221.0,3812,2446.0,3.4,58.8,37.8
Boki,latency-dist,0053000d0000010e,False,6989,355.0,2508,4126.0,5.1,35.9,59.0
Boki,latency-dist,0053000e0000008e,False,6732,186.0,1964,4582.0,2.8,29.2,68.1
Boki,latency-dist,009a001100000039,False,8607,178.0,5868,2561.0,2.1,68.2,29.8
Boki,latency-dist,009a000f00000034,False,9923,345.0,6599,2979.0,3.5,66.5,30.0
Boki,latency-dist,009a000d000000ba,False,10915,263.0,8615,2037.0,2.4,78.9,18.7
Boki,latency-dist,0053000d0000010f,False,9036,176.0,2271,6589.0,1.9,25.1,72.9
Boki,latency-dist,009a00100000003c,False,10270,257.0,6487,3526.0,2.5,63.2,34.3
Boki,latency-dist,009a000e00000039,False,10188,201.0,6344,3643.0,2.0,62.3,35.8
Boki,latency-dist,0053000e0000008f,False,7596,194.0,6295,1107.0,2.6,82.9,14.6
Boki,latency-dist,0053000d00000110,False,9184,296.0,7220,1668.0,3.2,78.6,18.2
