timestamp_ms,latency_ms,phase
1775199930738,39,before
1775199930783,5015,before
1775199935806,30,before
1775199935843,5016,before
1775199940867,34,before
1775199940910,5017,before
1775199945936,31,before
1775199945973,5016,before
1775199950996,32,before
1775199951034,5015,before
1775199956056,40,before
1775199956105,5016,before
1775199961128,38,after
1775199961172,5016,after
1775199966195,36,after
1775199966237,5017,after
1775199971263,40,after
1775199971311,5016,after
1775199976335,32,after
1775199976374,5018,after
1775199981399,34,after
1775199981439,5017,after
1775199986462,29,after
1775199986498,5018,after
