timestamp_ms,latency_ms,phase
1775214649261,38,before
1775214649260,39,before
1775214649260,39,before
1775214649267,38,before
1775214649260,48,before
1775214649260,10022,before
1775214649262,10020,before
1775214649260,10022,before
1775214649265,10021,before
1775214649266,10020,before
1775214711059,34,after
1775214711058,36,after
1775214711059,41,after
1775214711060,40,after
1775214711061,42,after
1775214711060,10020,after
1775214711058,10023,after
1775214711061,10021,after
1775214711062,10021,after
1775214711062,10023,after
1775214721312,39,after
1775214721313,38,after
1775214721311,40,after
1775214721314,41,after
1775214721311,44,after
1775214721313,10018,after
1775214721311,10020,after
1775214721312,10020,after
1775214721312,10020,after
1775214721314,10020,after
1775214731562,110,after
1775214731563,109,after
1775214731566,107,after
1775214731564,113,after
1775214731568,109,after
1775214731567,111,after
1775214731562,116,after
1775214731565,115,after
1775214731564,116,after
1775214731563,118,after
1775214731911,39,after
1775214731912,38,after
1775214731914,36,after
1775214731915,35,after
1775214731913,37,after
1775214731911,40,after
1775214731912,44,after
1775214731914,42,after
1775214731915,42,after
1775214731916,41,after
1775214732186,58,after
1775214732191,53,after
1775214732190,54,after
1775214732188,58,after
1775214732188,59,after
1775214732189,58,after
1775214732191,68,after
1775214732186,73,after
1775214732188,71,after
1775214732188,71,after
1775214732488,40,after
1775214732488,40,after
1775214732492,36,after
1775214732489,39,after
1775214732490,38,after
1775214732491,37,after
1775214732491,38,after
1775214732493,36,after
1775214732488,46,after
1775214732491,43,after
1775214732763,32,after
1775214732763,32,after
1775214732764,32,after
1775214732764,32,after
1775214732764,32,after
1775214732766,31,after
1775214732763,37,after
1775214732762,39,after
1775214732766,36,after
1775214732767,41,after
1775214733038,34,after
1775214733038,36,after
1775214733038,36,after
1775214733041,163,after
1775214733042,162,after
1775214733039,165,after
1775214733042,162,after
1775214733039,165,after
1775214733041,169,after
1775214733040,170,after
1775214733440,32,after
1775214733437,35,after
1775214733438,41,after
1775214733441,38,after
1775214733441,39,after
1775214733440,41,after
1775214733437,44,after
1775214733438,46,after
1775214733439,45,after
1775214733442,47,after
1775214733722,36,after
1775214733722,37,after
1775214733723,36,after
1775214733724,36,after
1775214733725,35,after
1775214733720,42,after
1775214733720,43,after
1775214733721,43,after
1775214733724,41,after
1775214733726,44,after
1775214733998,34,after
1775214733999,34,after
1775214734002,33,after
1775214734002,34,after
1775214734001,35,after
1775214734004,33,after
1775214734002,35,after
1775214734000,45,after
1775214734000,45,after
1775214734000,45,after
1775214734277,36,after
1775214734278,35,after
1775214734276,37,after
1775214734280,38,after
1775214734281,39,after
1775214734277,43,after
1775214734279,44,after
1775214734279,46,after
1775214734279,47,after
1775214734282,45,after
1775214734554,33,after
1775214734555,34,after
1775214734558,31,after
1775214734556,34,after
1775214734559,33,after
1775214734557,34,after
1775214734555,41,after
1775214734555,42,after
1775214734559,39,after
1775214734557,41,after
1775214734828,35,after
1775214734830,33,after
1775214734826,37,after
1775214734828,35,after
1775214734828,36,after
1775214734831,34,after
1775214734826,45,after
1775214734829,42,after
1775214734829,42,after
1775214734826,46,after
1775214735104,31,after
1775214735100,35,after
1775214735102,34,after
1775214735101,35,after
1775214735103,34,after
1775214735104,33,after
1775214735100,39,after
1775214735102,41,after
1775214735102,42,after
1775214735100,45,after
1775214735376,35,after
1775214735378,33,after
1775214735374,37,after
1775214735379,41,after
1775214735376,44,after
1775214735376,44,after
1775214735376,44,after
1775214735375,46,after
1775214735374,48,after
1775214735379,43,after
1775214735655,33,after
1775214735655,33,after
1775214735652,36,after
1775214735651,45,after
1775214735654,42,after
1775214735652,44,after
1775214735653,43,after
1775214735651,45,after
1775214735655,42,after
1775214735654,44,after
1775214735930,35,after
1775214735929,36,after
