timestamp_ms,latency_ms,phase
1775633271420,82,before
1775633271420,132,before
1775633271420,181,before
1775633271421,232,before
1775633271421,454,before
1775633271876,86,before
1775633271876,269,before
1775633271876,269,before
1775633271876,286,before
1775633271876,296,before
1775633272173,39,before
1775633272173,44,before
1775633272173,69,before
1775633272173,233,before
1775633272173,233,before
1775633272408,26,before
1775633272408,37,before
1775633272408,44,before
1775633272408,64,before
1775633272408,96,before
1775633272505,170,before
1775633272505,170,before
1775633272505,170,before
1775633272505,169,before
1775633272505,170,before
1775633272676,38,before
1775633272676,56,before
1775633272676,83,before
1775633272676,268,before
1775633272676,287,before
1775633272964,248,before
1775633272964,248,before
1775633272965,247,before
1775633272965,248,before
1775633272965,248,before
1775633273213,40,before
1775633273213,46,before
1775633273213,98,before
1775633273213,270,before
1775633273214,270,before
1775633273484,88,before
1775633273484,287,before
1775633273485,259,before
1775633273485,529,before
1775633273485,529,before
1775633274015,52,before
1775633274015,265,before
1775633274015,267,before
1775633274015,267,before
1775633274015,267,before
1775633274283,63,before
1775633274283,74,before
1775633274283,82,before
1775633274283,270,before
1775633274283,270,before
1775633274554,17,before
1775633274554,41,before
1775633274555,43,before
1775633274555,70,before
1775633274555,79,before
1775633274635,188,before
1775633274635,188,before
1775633274635,188,before
1775633274635,188,before
1775633274635,189,before
1775633274825,39,before
1775633274825,50,before
1775633274825,56,before
1775633274825,67,before
1775633274825,88,before
1775633274914,177,before
1775633274914,177,before
1775633274915,177,before
1775633274915,177,before
1775633274915,176,before
1775633275092,20,before
1775633275093,35,before
1775633275093,39,before
1775633275093,61,before
1775633275093,72,before
1775633275165,196,before
1775633275165,196,before
1775633275165,196,before
1775633275166,196,before
1775633275166,196,before
1775633275362,41,before
1775633275362,52,before
1775633275362,80,before
1775633275362,84,before
1775633275363,90,before
1775633275454,172,before
1775633275454,172,before
1775633275454,172,before
1775633275454,172,before
1775633275455,172,before
1775633275627,36,before
1775633275627,47,before
1775633275627,75,before
1775633275627,86,before
1775633275627,94,before
1775633275722,172,before
1775633275722,172,before
1775633275722,172,before
1775633275723,172,before
1775633275723,172,before
1775633275896,17,before
1775633275896,36,before
1775633275896,58,before
1775633275896,65,before
1775633275896,96,before
1775633275993,164,before
1775633275993,164,before
1775633275993,164,before
1775633275993,164,before
1775633275993,164,before
1775633276158,46,before
1775633276158,55,before
1775633276158,85,before
1775633276158,96,before
1775633276158,99,before
1775633276258,164,before
1775633276258,195,before
1775633276258,203,before
1775633276259,215,before
1775633276259,233,before
1775633276492,230,before
1775633276492,230,before
1775633276492,230,before
1775633276493,230,before
1775633276493,230,before
1775633276724,28,before
1775633276724,38,before
1775633276724,49,before
1775633276724,70,before
1775633276724,98,before
1775633276823,176,before
1775633276823,176,before
1775633276824,176,before
1775633276824,176,before
1775633276824,176,before
1775633277000,33,before
1775633277001,38,before
1775633277001,53,before
1775633277001,73,before
1775633277001,77,before
1775633277079,151,before
1775633277080,151,before
1775633277080,151,before
1775633277080,151,before
1775633277080,151,before
1775633277231,43,before
1775633277231,52,before
1775633277232,71,before
1775633277232,83,before
1775633277232,101,before
1775633277333,171,before
1775633277334,188,before
1775633277334,210,before
1775633277334,215,before
1775633277334,241,before
1775633277575,29,before
1775633277575,49,before
1775633277575,66,before
1775633277575,86,before
1775633277576,96,before
1775633277672,53,before
1775633277672,59,before
1775633277672,89,before
1775633277673,93,before
1775633277673,119,before
1775633277792,43,before
1775633277792,73,before
1775633277793,39,before
1775633277793,69,before
1775633277793,80,before
1775633277874,40,before
1775633277874,47,before
1775633277874,79,before
1775633277874,87,before
1775633277874,97,before
1775633277972,51,before
1775633277972,60,before
1775633277972,80,before
1775633277972,84,before
1775633277972,88,before
1775633278061,52,before
1775633278062,56,before
1775633278062,90,before
1775633278062,94,before
1775633278062,98,before
1775633278161,21,before
1775633278161,32,before
1775633278161,42,before
1775633278161,61,before
1775633278161,65,before
1775633278226,38,before
1775633278226,55,before
1775633278226,67,before
1775633278226,78,before
1775633278227,88,before
1775633278315,27,before
1775633278315,48,before
1775633278315,64,before
1775633278316,66,before
1775633278316,90,before
1775633278407,35,before
